time,from,to,value
1.00,c1.out_0,c2.in_0,0
1.00,c1.out_0,c2.in_0,0
1.00,c2.out_1,c3.in_0,0
2.00,c2.out_1,c3.in_0,0
2.00,c1.out_0,c2.in_0,0
2.00,c1.out_0,c2.in_0,0
2.00,c2.out_1,c3.in_0,0
3.00,c2.out_1,c3.in_0,1
3.00,c1.out_0,c2.in_0,1
3.00,c1.out_0,c2.in_0,1
3.00,c2.out_1,c3.in_0,1
4.00,c2.out_1,c3.in_0,1
4.00,c1.out_0,c2.in_0,1
4.00,c1.out_0,c2.in_0,1
4.00,c2.out_1,c3.in_0,1
5.00,c2.out_1,c3.in_0,1
5.00,c1.out_0,c2.in_0,1
5.00,c1.out_0,c2.in_0,1
5.00,c2.out_1,c3.in_0,1
6.00,c2.out_1,c3.in_0,1
6.00,c1.out_0,c2.in_0,1
6.00,c1.out_0,c2.in_0,1
6.00,c2.out_1,c3.in_0,1
7.00,c2.out_1,c3.in_0,1
7.00,c1.out_0,c2.in_0,1
7.00,c1.out_0,c2.in_0,1
7.00,c2.out_1,c3.in_0,1
8.00,c2.out_1,c3.in_0,0
8.00,c1.out_0,c2.in_0,0
8.00,c1.out_0,c2.in_0,0
8.00,c2.out_1,c3.in_0,0
9.00,c2.out_1,c3.in_0,1
9.00,c1.out_0,c2.in_0,1
9.00,c1.out_0,c2.in_0,1
9.00,c2.out_1,c3.in_0,1
10.00,c2.out_1,c3.in_0,1
10.00,c1.out_0,c2.in_0,1
10.00,c1.out_0,c2.in_0,1
10.00,c2.out_1,c3.in_0,1
11.00,c2.out_1,c3.in_0,0
11.00,c1.out_0,c2.in_0,0
11.00,c1.out_0,c2.in_0,0
11.00,c2.out_1,c3.in_0,0
12.00,c2.out_1,c3.in_0,1
12.00,c1.out_0,c2.in_0,1
12.00,c1.out_0,c2.in_0,1
12.00,c2.out_1,c3.in_0,1
13.00,c2.out_1,c3.in_0,1
13.00,c1.out_0,c2.in_0,1
13.00,c1.out_0,c2.in_0,1
13.00,c2.out_1,c3.in_0,1
14.00,c2.out_1,c3.in_0,1
14.00,c1.out_0,c2.in_0,1
14.00,c1.out_0,c2.in_0,1
14.00,c2.out_1,c3.in_0,1
15.00,c2.out_1,c3.in_0,0
15.00,c1.out_0,c2.in_0,0
15.00,c1.out_0,c2.in_0,0
15.00,c2.out_1,c3.in_0,0
16.00,c2.out_1,c3.in_0,0
16.00,c1.out_0,c2.in_0,0
16.00,c1.out_0,c2.in_0,0
16.00,c2.out_1,c3.in_0,0
17.00,c2.out_1,c3.in_0,0
17.00,c1.out_0,c2.in_0,0
17.00,c1.out_0,c2.in_0,0
17.00,c2.out_1,c3.in_0,0
18.00,c2.out_1,c3.in_0,1
18.00,c1.out_0,c2.in_0,1
18.00,c1.out_0,c2.in_0,1
18.00,c2.out_1,c3.in_0,1
19.00,c2.out_1,c3.in_0,0
19.00,c1.out_0,c2.in_0,0
19.00,c1.out_0,c2.in_0,0
19.00,c2.out_1,c3.in_0,0
20.00,c2.out_1,c3.in_0,0
20.00,c1.out_0,c2.in_0,0
20.00,c1.out_0,c2.in_0,0
20.00,c2.out_1,c3.in_0,0
21.00,c2.out_1,c3.in_0,1
21.00,c1.out_0,c2.in_0,1
21.00,c1.out_0,c2.in_0,1
21.00,c2.out_1,c3.in_0,1
22.00,c2.out_1,c3.in_0,0
22.00,c1.out_0,c2.in_0,0
22.00,c1.out_0,c2.in_0,0
22.00,c2.out_1,c3.in_0,0
23.00,c2.out_1,c3.in_0,0
23.00,c1.out_0,c2.in_0,0
23.00,c1.out_0,c2.in_0,0
23.00,c2.out_1,c3.in_0,0
24.00,c2.out_1,c3.in_0,0
24.00,c1.out_0,c2.in_0,0
24.00,c1.out_0,c2.in_0,0
24.00,c2.out_1,c3.in_0,0
25.00,c2.out_1,c3.in_0,0
25.00,c1.out_0,c2.in_0,0
25.00,c1.out_0,c2.in_0,0
25.00,c2.out_1,c3.in_0,0
26.00,c2.out_1,c3.in_0,0
26.00,c1.out_0,c2.in_0,0
26.00,c1.out_0,c2.in_0,0
